Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,rpm_0,rpm_1,rpm_2,rpm_3,aux.current_yaw,aux.kf_correction,aux.angle_corrections,aux.enable_motors,aux.use_external_yaw
1642435551.82744,10977,1642435551,826254498,,9240.0,8444.0,8600.0,9252.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.8378794,10978,1642435551,836338353,,9176.0,8404.0,8588.0,9292.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.8477085,10979,1642435551,846225177,,9164.0,8392.0,8664.0,9304.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.8578527,10980,1642435551,856189813,,9156.0,8380.0,8652.0,9300.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.8699553,10981,1642435551,866682782,,9200.0,8412.0,8632.0,9252.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.877564,10982,1642435551,876209083,,9208.0,8372.0,8620.0,9276.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.888352,10983,1642435551,886264031,,9248.0,8376.0,8548.0,9236.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.89791,10984,1642435551,896178354,,9224.0,8396.0,8540.0,9240.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.9082167,10985,1642435551,906282208,,9272.0,8484.0,8572.0,9280.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.9186342,10986,1642435551,916180541,,9236.0,8400.0,8572.0,9248.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.9290261,10987,1642435551,926232781,,9272.0,8392.0,8560.0,9236.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.9374876,10988,1642435551,936213458,,9252.0,8368.0,8524.0,9260.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.9479878,10989,1642435551,946223979,,9208.0,8348.0,8552.0,9244.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.9582956,10990,1642435551,956369968,,9240.0,8372.0,8536.0,9200.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.969037,10991,1642435551,966410021,,9268.0,8356.0,8544.0,9252.0,0.0,0.0,"(0.0, 0.0)",False,False
